tree 木
sun 日
one 一
big 大
year 年
middle 中
meet 会
people/human 人
book 本
month/moon 月
long 長
country 国
got_out 出
up/top 上
ten 十
life 生
child 子
minute 分
east 東
three 三
to_go 行
same 同
now 今
high/expensive 高
money/gold 金
time 時
hand 手
see/look 見
city 市
power 力
rice 米
oneself 自
before 前
yen 円
combine 合
stand 立
inside 内
two 二
affair/matter 事
company/society 社
person 者
ground/place 地
capital 京
interval/between 間
rice_field 田
body 体
study 学
down/under 下
eye 目
five 五
after 後
new 新
bright/clear 明
direction 方
section 部
woman 女
eight 八
heart 心
four 四
people/nation 民
opposite 対
main/master 主
right/correct 正
substitute/generation 代
say 言
nine 九
small 小
think 思
seven 七
mountain 山
real 実
enter 入
turn_around/time 回
place 場
field 野
open 開
ten_thousand 万
whole 全
fix 定
house 家
north 北
six 六
question 問
speak 話
letter/writings 文
move 動
degree/time 度
prefecture 県
water 水
inexpensive/peacefull 安
courtesy_name 氏
harmonious/peace 和
goverment/politics 政
maintain/keep 保
express/surface 表
way 道
phase/mutual 相
mind/meaning 意
start/emit 発
not 不
political_party 党
