ア a
イ i
ウ u
エ e
オ o
ャ ya
ュ yu
ョ yo
ヮ wa
カ ka
キ ki
ク ku
ケ ke
コ ko
キャ kya
キュ kyu
キョ kyo
クヮ kwa
サ sa
シ shi
ス su
セ se
ソ so
シャ sha
シュ shu
ショ sho
タ ta
チ chi
ツ tsu
テ te
ト to
チャ cha
チュ chu
チョ cho
ナ na
ニ ni
ヌ nu
ネ ne
ノ no
ニャ nya
ニュ nyu
ニョ nyo
ハ ha/wa
ヒ hi
フ fu/hu
ヘ he/e
ホ ho
ヒャ hya
ヒュ hyu
ヒョ hyo
マ ma
ミ mi
ム mu
メ me
モ mo
ミャ mya
ミュ myu
ミョ myo
ヤ ya
ユ yu
ヨ yo
ラ ra
リ ri
ル ru
レ re
ロ ro
リャ rya
リュ ryu
リョ ryo
ワ wa
ヰ wi/i
ヱ we/e
ヲ wo/o
ン n
ガ ga
ギ gi
グ gu
ゲ ge
ゴ go
ギャ gya
ギュ gyu
ギョ gyo
グヮ gwa
ザ za
ジ ji
ズ zu
ゼ ze
ゾ zo
ジャ ja
ジュ ju
ジョ jo
